# FPR	TPR
0.000000	0.000000
0.004302	0.014311
0.004302	0.014325
0.004316	0.014325
0.004331	0.014354
0.004360	0.014499
0.004360	0.014615
0.004360	0.014629
0.004447	0.014948
0.004447	0.014977
0.004461	0.014977
0.004505	0.014992
0.004505	0.015035
0.004592	0.015281
0.004780	0.015687
0.004780	0.015759
0.004809	0.015875
0.004823	0.015875
0.004896	0.015991
0.004896	0.016049
0.005200	0.017077
0.005200	0.017092
0.005214	0.017164
0.005316	0.017280
0.005316	0.017324
0.005316	0.017353
0.005316	0.017584
0.005359	0.018077
0.005388	0.018164
0.005417	0.018222
0.005490	0.018395
0.005504	0.018410
0.005533	0.018424
0.005548	0.018511
0.005562	0.018555
0.005562	0.018613
0.005562	0.018627
0.005591	0.018642
0.005591	0.018685
0.005634	0.018772
0.005634	0.018801
0.005634	0.018844
0.005634	0.018873
0.009053	0.031924
0.009053	0.031967
0.009067	0.031967
0.009067	0.031982
0.009067	0.032025
0.009067	0.032040
0.009067	0.032069
0.009067	0.032083
0.009096	0.032156
0.009111	0.032199
0.009125	0.032301
0.009169	0.032315
0.009183	0.032315
0.009183	0.032330
0.009256	0.032619
0.009256	0.032634
0.009270	0.032634
0.009285	0.032677
0.009299	0.032677
0.009386	0.033039
0.009386	0.033068
0.009386	0.033126
0.009386	0.033141
0.009386	0.033170
0.009386	0.033184
0.009415	0.033561
0.009487	0.033923
0.009502	0.033952
0.009531	0.033952
0.009531	0.034010
0.009531	0.034024
0.009632	0.034184
0.009647	0.034198
0.009647	0.034213
0.009647	0.034242
0.009647	0.034343
0.009661	0.034343
0.009676	0.034357
0.009676	0.034372
0.009676	0.034415
0.009676	0.034444
0.010139	0.036153
0.010139	0.036182
0.010168	0.036182
0.010183	0.036197
0.010183	0.036211
0.010197	0.036211
0.010197	0.036226
0.010197	0.036298
0.010241	0.036356
0.010255	0.036429
0.010313	0.036733
0.010313	0.036747
0.010327	0.036747
0.010356	0.036805
0.010371	0.036805
0.010371	0.036834
0.010487	0.037283
0.010501	0.037645
0.010501	0.037660
0.010516	0.037732
0.010530	0.037747
0.010559	0.037776
0.010574	0.037776
0.010574	0.037834
0.010574	0.037863
0.010733	0.038297
0.010748	0.038297
0.010748	0.038312
0.010777	0.038326
0.010777	0.038355
0.010777	0.038370
0.010834	0.038674
0.010834	0.038688
0.010849	0.038703
0.010878	0.038761
0.010907	0.038877
0.010950	0.038891
0.010950	0.038920
0.010950	0.038949
0.010965	0.039065
0.010979	0.039195
0.010979	0.039224
0.010979	0.039268
0.011008	0.039326
0.011008	0.039340
0.011008	0.039369
0.011008	0.039384
0.011023	0.039398
0.011023	0.039427
0.011037	0.039427
0.011037	0.039456
0.011037	0.039514
0.011066	0.039543
0.011066	0.039557
0.011081	0.039557
0.013775	0.050204
0.013804	0.050204
0.013804	0.050218
0.013804	0.050247
0.013818	0.050261
0.013818	0.050276
0.013847	0.050290
0.013862	0.050305
0.013876	0.050348
0.013876	0.050363
0.013891	0.050363
0.013891	0.050392
0.013891	0.050450
0.013905	0.050479
0.013905	0.050493
0.013920	0.050537
0.013920	0.050566
0.013949	0.050609
0.013949	0.050624
0.014007	0.050797
0.014050	0.050855
0.014050	0.050870
0.014093	0.051159
0.014093	0.051174
0.014108	0.051174
0.014108	0.051203
0.014108	0.051232
0.014108	0.051261
0.014253	0.051724
0.014253	0.051739
0.014282	0.051739
0.014282	0.051768
0.014282	0.051811
0.014282	0.051840
0.014282	0.051869
0.014282	0.051898
0.014282	0.051942
0.014296	0.051942
