# FPR	TPR
0.000000	0.000000
0.000069	0.000000
0.000486	0.000000
0.000625	0.000000
0.000694	0.000000
0.000694	0.000208
0.000764	0.000208
0.000972	0.000208
0.001111	0.000208
0.001250	0.000625
0.001319	0.000625
0.001528	0.000625
0.001597	0.000625
0.001597	0.000833
0.001944	0.001042
0.002292	0.001042
0.002361	0.001042
0.002778	0.001250
0.003125	0.001250
0.003750	0.001667
0.003819	0.001667
0.004375	0.002083
0.004583	0.002083
0.004861	0.002083
0.004931	0.002083
0.005139	0.002083
0.005139	0.002292
0.005625	0.002292
0.005625	0.002500
0.005694	0.002500
0.005903	0.002500
0.005972	0.002500
0.006181	0.002708
0.006319	0.002708
0.006875	0.002708
0.007083	0.003125
0.007083	0.003333
0.007153	0.003333
0.007431	0.003958
0.007500	0.003958
0.007500	0.004167
0.007639	0.004167
0.007639	0.004375
0.007708	0.004375
0.007708	0.004583
0.007847	0.004792
0.007847	0.005625
0.007986	0.005833
0.008056	0.006042
0.008125	0.006458
0.008125	0.006667
0.008264	0.006667
0.008264	0.007708
0.008264	0.008125
0.008264	0.008958
0.008333	0.008958
0.008333	0.009167
0.008333	0.009583
0.008403	0.009583
0.008403	0.010625
0.008472	0.011042
0.008542	0.011042
0.008542	0.011667
0.008611	0.011667
0.008750	0.012292
0.008750	0.012500
0.009028	0.012500
0.009097	0.012917
0.009097	0.013125
0.009306	0.013125
0.009444	0.013125
0.009514	0.013125
0.009514	0.013542
0.009722	0.013542
0.009722	0.013750
0.009792	0.013750
0.009861	0.014167
0.009931	0.014167
0.009931	0.014375
0.010000	0.014375
0.010000	0.015208
0.010139	0.016250
0.010208	0.016250
0.010208	0.016458
0.010278	0.016458
0.010278	0.016667
0.010417	0.016667
0.010417	0.017083
0.010556	0.017500
0.010625	0.017500
0.010625	0.017708
0.010694	0.018125
0.010764	0.018333
0.010764	0.018542
0.010903	0.018750
0.010972	0.018750
0.010972	0.019167
0.011042	0.019167
0.011042	0.019583
0.011597	0.020208
0.011597	0.020417
0.011875	0.020417
0.011944	0.020625
0.011944	0.020833
0.012014	0.020833
0.012014	0.021250
0.012083	0.021250
0.012639	0.023542
0.012778	0.023542
0.012847	0.023958
0.012986	0.023958
0.013056	0.024167
0.013056	0.024375
0.013056	0.025000
0.013056	0.025208
0.013125	0.025417
0.013194	0.025417
0.013472	0.026042
0.013472	0.026250
0.013472	0.026667
0.013542	0.026667
0.013542	0.026875
0.013611	0.026875
0.013611	0.027083
0.013681	0.027083
0.013681	0.027292
0.013958	0.027708
0.014097	0.027708
0.014236	0.027708
0.015069	0.028542
0.015069	0.028750
0.015139	0.028750
0.015208	0.029167
0.015208	0.029375
0.015278	0.029375
0.015278	0.029583
0.015347	0.029583
0.015486	0.030208
0.015486	0.030417
0.015556	0.030417
0.015625	0.030625
0.015625	0.031042
0.017014	0.033125
0.017083	0.033125
0.017222	0.033542
0.017431	0.033542
0.017431	0.033958
0.017500	0.033958
0.017500	0.034167
0.017986	0.035000
0.018125	0.035000
0.018125	0.035417
0.018194	0.035417
0.018194	0.035625
0.018264	0.035625
0.018333	0.036042
0.018333	0.036250
0.019514	0.038125
0.019583	0.038333
0.019792	0.038750
0.019792	0.038958
0.019931	0.038958
0.020000	0.038958
0.020208	0.039583
0.020208	0.039792
0.020278	0.040000
0.020278	0.040417
0.020347	0.040417
0.020417	0.040833
0.021528	0.042292
0.021597	0.042292
0.021736	0.042708
0.021736	0.043125
0.021875	0.043542
0.022361	0.044375
0.022361	0.044583
0.022431	0.044792
0.022569	0.045208
0.022639	0.045625
0.022708	0.045625
0.022847	0.045833
0.025000	0.048958
0.025000	0.049167
0.025069	0.049167
0.025069	0.049375
0.025208	0.049375
0.025278	0.049583
0.025417	0.049583
0.025486	0.050000
0.025903	0.050833
0.026042	0.050833
0.026111	0.051250
